run_id,method,map_id,workload,n_agents,seed,selector_seed,event_delay,guidance_scale,horizon,completed,throughput,post_shift_completed_100,post_shift_throughput_100,post_shift_wait_rate_100,stale_fraction_auc,version_lag_auc,repair_event_count,repair_rebind_count,unique_field_build_count,new_task_rebind_count,new_task_unique_field_build_count,guidance_generation_seconds,exposure_seconds,repair_field_build_seconds,new_task_field_build_seconds,executor_seconds,wall_time_seconds,collision_count,deadlocked,trace_hash,task_tape_hash
4bc3525067f8fd34,random_25,two_corridor,abrupt,24,201,1701,0,2.0,400,137,0.3425,34,0.34,0.16791666666666666,0.3098333333333333,0.3098333333333333,1,6,6,136,90,0.00012125,0.000207292,0.000655167,0.009722669,0.01987525499999999,0.033295,0,False,542242aae67646a3,b26cfa1619408951
979b82255a1b237a,random_25,two_corridor,abrupt,24,201,2903,0,2.0,400,117,0.2925,52,0.52,0.1475,0.1255,0.1255,1,6,6,116,82,0.000104709,0.000206875,0.000643625,0.008788955999999999,0.01995579100000002,0.032373458,0,False,45166a89981e8f98,b26cfa1619408951
65d0c38375a64bdd,random_25,two_corridor,abrupt,24,201,4307,0,2.0,400,112,0.28,30,0.3,0.14583333333333334,0.3808333333333333,0.3808333333333333,1,6,6,112,81,0.000103209,0.000205416,0.0006446659999999999,0.008706126999999998,0.019136921,0.031404334,0,False,387f3988a444581b,b26cfa1619408951
5ee51d0cbca9c142,top_10,two_corridor,abrupt,24,201,0,0,2.0,400,120,0.3,33,0.33,0.17666666666666667,0.227,0.227,1,3,3,119,84,0.000100666,0.00020425,0.000321125,0.008943713999999998,0.019147638000000005,0.031279292,0,False,3ce8640560bd1921,b26cfa1619408951
856ceaece55bf561,top_25,two_corridor,abrupt,24,201,0,0,2.0,400,85,0.2125,33,0.33,0.17166666666666666,0.124,0.124,1,6,5,85,64,0.000105416,0.000272583,0.000555376,0.006809754999999998,0.019521725,0.029843291,0,False,9d36f9ee0ef2ad8a,b26cfa1619408951
8726dfc5e658b8d5,repair_all,two_corridor,abrupt,24,201,0,0,2.0,400,55,0.1375,9,0.09,0.16625,0.0,0.0,1,24,22,55,44,0.000102208,0.000203167,0.002326582,0.004658871,0.019572785000000002,0.029509208,0,False,284b2631e7dcc8b0,b26cfa1619408951
7b55392509cd0f2c,no_update,two_corridor,abrupt,24,202,0,0,2.0,400,94,0.235,39,0.39,0.20208333333333334,0.0,0.0,0,0,0,94,60,0.0,0.0,0.0,0.00641875,0.019484584000000003,0.028311292,0,False,acc536ce6084c4ef,e2f8b3772fa48062
98a798ec8bccc4f6,lazy_0,two_corridor,abrupt,24,202,0,0,2.0,400,138,0.345,69,0.69,0.11958333333333333,0.07516750418760469,0.07516750418760469,1,0,0,138,76,0.000101417,0.000150042,0.0,0.008102708,0.01930125499999999,0.0301225,0,False,c7a0d08c71245754,e2f8b3772fa48062
1b5028b93de55513,random_10,two_corridor,abrupt,24,202,1701,0,2.0,400,117,0.2925,34,0.34,0.1575,0.06386097152428812,0.06386097152428812,1,3,2,117,70,0.000106166,0.000150625,0.000216084,0.0074892139999999975,0.01968544999999999,0.03018775,0,False,84073bdec99bb477,e2f8b3772fa48062
f62030b77cee5e2f,random_10,two_corridor,abrupt,24,202,2903,0,2.0,400,119,0.2975,43,0.43,0.12875,0.0829145728643216,0.0829145728643216,1,3,3,118,71,0.000102375,0.000148625,0.000321334,0.007562127000000003,0.019617287,0.030235917,0,False,10c160c75f61bcdc,e2f8b3772fa48062
