method,map_id,workload,n_agents,n_runs,throughput_mean,throughput_std,wait_rate_mean,refresh_rate_mean,wall_time_seconds_mean,refresh_seconds_mean,budget_violation_rate,deadlock_rate,collision_count
always_refresh,two_corridor,abrupt,24,3,0.568,0.06101365967278694,0.076,1.0,0.154086069,0.11364556866666665,0.0,0.0,0
always_refresh,two_corridor,recurring,24,3,0.5946666666666667,0.07165348716023677,0.07494444444444444,1.0,0.1538370973333333,0.11313776433333333,0.0,0.0,0
always_refresh,two_corridor,static,24,3,0.584,0.039597979746446646,0.06983333333333334,1.0,0.15480630533333334,0.11488376599999998,0.0,0.0,0
always_reuse,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.02,0.030484708333333332,0.0024988336666666665,0.0,0.0,0
always_reuse,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.02,0.032591249999999995,0.002496889,0.0,0.0,0
always_reuse,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.02,0.02882618033333333,0.0035784583333333332,0.0,0.0,0
betg_10,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.42025318066666667,0.011211819666666666,0.0,0.0,0
betg_10,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.4182672776666667,0.011709626333333334,0.3333333333333333,0.0,0
betg_10,two_corridor,static,24,3,0.3626666666666667,0.043492017147466894,0.14188888888888887,0.10000000000000002,0.42181234733333334,0.011352582333333333,0.0,0.0,0
betg_25,two_corridor,abrupt,24,3,0.36400000000000005,0.017281975195754282,0.102,0.25333333333333335,0.47123755500000003,0.02872415266666667,0.0,0.0,0
betg_25,two_corridor,recurring,24,3,0.38133333333333336,0.0438583578757294,0.09944444444444445,0.26,0.4731569306666667,0.029638180666666666,0.3333333333333333,0.0,0
betg_25,two_corridor,static,24,3,0.3706666666666667,0.06318930992572153,0.10388888888888888,0.22666666666666666,0.4700265696666667,0.02538226366666667,0.0,0.0,0
drift_10,two_corridor,abrupt,24,3,0.26133333333333336,0.04945929864264374,0.15611111111111112,0.10000000000000002,0.040883514,0.011801681,0.0,0.0,0
drift_10,two_corridor,recurring,24,3,0.2733333333333334,0.013597385369580746,0.14872222222222223,0.10000000000000002,0.042301874999999996,0.011879042333333334,0.0,0.0,0
drift_10,two_corridor,static,24,3,0.30666666666666664,0.05389702115042064,0.15761111111111112,0.09333333333333334,0.040711319333333336,0.010747416666666667,0.0,0.0,0
drift_25,two_corridor,abrupt,24,3,0.4346666666666667,0.07563655788630845,0.10933333333333334,0.25333333333333335,0.06362869466666667,0.028350834666666668,0.0,0.0,0
drift_25,two_corridor,recurring,24,3,0.35600000000000004,0.03973243846867022,0.11199999999999999,0.26,0.063032778,0.02985684766666667,0.0,0.0,0
drift_25,two_corridor,static,24,3,0.3866666666666667,0.039372861493955726,0.11755555555555557,0.2333333333333333,0.05880316633333333,0.026039070333333334,0.0,0.0,0
periodic_20,two_corridor,abrupt,24,3,0.336,0.021416504538945346,0.09666666666666666,0.26,0.063430875,0.029588804666666666,0.0,0.0,0
periodic_20,two_corridor,recurring,24,3,0.36400000000000005,0.03973243846867022,0.09522222222222222,0.26,0.06325322233333334,0.029413318999999997,0.0,0.0,0
periodic_20,two_corridor,static,24,3,0.332,0.0097979589711327,0.0941111111111111,0.26,0.06185251433333333,0.029859445,0.0,0.0,0
periodic_50,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.044413014,0.01114714,0.0,0.0,0
periodic_50,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.04451644433333333,0.011702889333333334,0.0,0.0,0
periodic_50,two_corridor,static,24,3,0.3586666666666667,0.04691363222869114,0.14066666666666666,0.10000000000000002,0.04331806933333334,0.011246013666666665,0.0,0.0,0
shortest,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.0,0.02015837466666667,0.0,0.0,0.0,0
shortest,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.0,0.020518916666666668,0.0,0.0,0.0,0
shortest,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.0,0.01977988933333333,0.0,0.0,0.0,0
