run_id,method,map_id,workload,n_agents,seed,selector_seed,horizon,completed,throughput,post_shift_completed_100,post_shift_throughput_100,post_shift_wait_rate_100,stale_fraction_auc,version_lag_auc,repair_event_count,repair_rebind_count,unique_field_build_count,new_task_rebind_count,new_task_unique_field_build_count,guidance_generation_seconds,exposure_seconds,repair_field_build_seconds,new_task_field_build_seconds,executor_seconds,wall_time_seconds,collision_count,deadlocked,trace_hash,task_tape_hash
35ca066ad7d27a7d,random_25,two_corridor,recurring,24,102,4307,300,96,0.32,41,0.41,0.1125,0.5079457364341085,0.5135658914728682,2,12,11,95,77,0.00019608199999999998,0.000383959,0.00116425,0.008136119999999998,0.014441370999999996,0.026487791,0,False,2715fa9d41555594,b68258974b40edff
df651b7c77809362,top_25,two_corridor,recurring,24,102,0,300,88,0.29333333333333333,49,0.49,0.17333333333333334,0.22209302325581395,0.22209302325581395,2,12,11,88,73,0.000328333,0.000424751,0.001172753,0.007733084,0.014601713000000007,0.026366667,0,False,b4d9d4514967bc11,b68258974b40edff
0be6e47e619cdc05,repair_all,two_corridor,recurring,24,102,0,300,49,0.16333333333333333,25,0.25,0.16958333333333334,0.0,0.0,2,48,46,49,44,0.000204666,0.000399375,0.004840374,0.004686375000000001,0.015207751000000004,0.027710916,0,False,73b6205a70ba5eaf,b68258974b40edff
7252f3c7adaa0cb2,lazy_0,two_corridor,recurring,24,103,0,300,131,0.43666666666666665,37,0.37,0.13166666666666665,0.41414728682170543,0.48217054263565895,2,0,0,131,98,0.000202958,0.000416417,0.0,0.010393914999999995,0.014809910000000003,0.02785075,0,False,95ff00c29eb73378,033ca7d1d1d369ef
c9a83bcd65cc76aa,random_25,two_corridor,recurring,24,103,1701,300,107,0.3566666666666667,35,0.35,0.10875,0.4697674418604651,0.4697674418604651,2,12,11,107,83,0.000206792,0.000423958,0.001210043,0.008808380000000001,0.014543570999999993,0.027291416,0,False,44842e05b5a3761a,033ca7d1d1d369ef
1a3f8a178f486c85,random_25,two_corridor,recurring,24,103,2903,300,90,0.3,25,0.25,0.14958333333333335,0.49089147286821705,0.5079457364341085,2,12,12,90,72,0.000343875,0.000407042,0.00126208,0.007582627999999999,0.013897539999999995,0.025536584,0,False,a82ea76b249edf97,033ca7d1d1d369ef
2b21c9b23e17c5c3,random_25,two_corridor,recurring,24,103,4307,300,116,0.38666666666666666,58,0.58,0.14416666666666667,0.14457364341085271,0.14457364341085271,2,12,12,116,89,0.000362626,0.000386334,0.00127079,0.009404616000000003,0.015088119,0.0286455,0,False,f84471857cb7d65d,033ca7d1d1d369ef
370ea9e9acc98cb4,top_25,two_corridor,recurring,24,103,0,300,98,0.32666666666666666,21,0.21,0.16708333333333333,0.31259689922480616,0.31259689922480616,2,12,11,97,73,0.00020887500000000002,0.000388249,0.001182207,0.00781,0.014794840000000007,0.026534791,0,False,e54d9dcbbce582d1,033ca7d1d1d369ef
8e2b820bed25a882,repair_all,two_corridor,recurring,24,103,0,300,86,0.2866666666666667,37,0.37,0.14791666666666667,0.0,0.0,2,48,43,86,69,0.000206791,0.000416542,0.004632250000000001,0.0073448359999999996,0.014983413999999992,0.030041333,0,False,12659539f0a303e2,033ca7d1d1d369ef
8a68df836a1d3e4c,lazy_0,three_corridor,abrupt,24,100,0,300,149,0.49666666666666665,55,0.55,0.1,0.2317538126361656,0.2317538126361656,1,0,0,149,92,0.000109292,0.000181042,0.0,0.009945418,0.014679009000000008,0.026862875,0,False,0b5b76ba321813a2,ffd85dfa12535970
2ecf523e3aac9d40,random_25,three_corridor,abrupt,24,100,1701,300,136,0.4533333333333333,63,0.63,0.12666666666666668,0.12282135076252725,0.12282135076252725,1,6,6,136,84,0.00011025,0.000181291,0.0006449180000000001,0.009083662000000003,0.014427407000000003,0.026387958,0,False,9045f87bf9683185,ffd85dfa12535970
c9d0fe258bd0ac3c,random_25,three_corridor,abrupt,24,100,2903,300,134,0.44666666666666666,51,0.51,0.12375,0.1122004357298475,0.1122004357298475,1,6,6,134,80,0.000304459,0.000186583,0.000656833,0.008759038000000005,0.014548466000000008,0.026524542,0,False,8da354e6fcf88d1f,ffd85dfa12535970
60036c045e83df9f,random_25,three_corridor,abrupt,24,100,4307,300,146,0.4866666666666667,57,0.57,0.12291666666666666,0.1056644880174292,0.1056644880174292,1,6,6,145,87,0.000116209,0.000181167,0.000640292,0.009344124,0.01434674600000001,0.026631,0,False,b6e030cc631648e5,ffd85dfa12535970
0d00215e0dbbf59c,top_25,three_corridor,abrupt,24,100,0,300,131,0.43666666666666665,51,0.51,0.13791666666666666,0.144880174291939,0.144880174291939,1,6,5,131,86,0.000109333,0.000181333,0.000533375,0.009237160000000005,0.014839586999999996,0.026844292,0,False,c50322678a8eb518,ffd85dfa12535970
ba6fb233b259db51,repair_all,three_corridor,abrupt,24,100,0,300,119,0.39666666666666667,28,0.28,0.1625,0.0,0.0,1,24,19,119,77,0.000110792,0.000186208,0.0020260449999999998,0.008314830999999998,0.014520455,0.0272475,0,False,c34785654b924f5e,ffd85dfa12535970
7a5390320bc44203,lazy_0,three_corridor,abrupt,24,101,0,300,62,0.20666666666666667,21,0.21,0.12458333333333334,0.39305555555555555,0.39305555555555555,1,0,0,62,43,0.000108,0.000165542,0.0,0.0046644189999999995,0.013966465000000006,0.020766792,0,False,a93c1582593d1cd5,a28da83d31a043fa
b4e77447fe8ed7b7,random_25,three_corridor,abrupt,24,101,1701,300,112,0.37333333333333335,44,0.44,0.14166666666666666,0.07314814814814814,0.07314814814814814,1,6,6,112,71,0.000105375,0.000163458,0.000663583,0.007679088000000001,0.014540708,0.025152583,0,False,abc1ffa7016e42c2,a28da83d31a043fa
af59339dac3d5bb4,random_25,three_corridor,abrupt,24,101,2903,300,79,0.2633333333333333,32,0.32,0.155,0.08611111111111111,0.08611111111111111,1,6,6,79,54,0.000109666,0.000163875,0.000665001,0.005910576000000002,0.014329535999999995,0.023150375,0,False,42fa708d554d6e71,a28da83d31a043fa
40b43f1560032521,random_25,three_corridor,abrupt,24,101,4307,300,117,0.39,54,0.54,0.11708333333333333,0.09513888888888888,0.09513888888888888,1,6,6,117,73,0.000106834,0.000161834,0.000646708,0.007936999999999998,0.014471954,0.025299166,0,False,d33bd90eb1512eaf,a28da83d31a043fa
e4d0240c1ecac253,top_25,three_corridor,abrupt,24,101,0,300,129,0.43,68,0.68,0.11958333333333333,0.09606481481481483,0.09606481481481483,1,6,6,129,77,0.000109084,0.0001625,0.0006449580000000001,0.008321793000000001,0.014216042999999996,0.0254655,0,False,72b06cf0786ff4b3,a28da83d31a043fa
6f35d674af3fc12b,repair_all,three_corridor,abrupt,24,101,0,300,119,0.39666666666666667,48,0.48,0.15125,0.0,0.0,1,24,22,118,72,0.000118208,0.000162834,0.002379749,0.007736582,0.014866172000000006,0.027413583,0,False,2e2059309cbf0b4d,a28da83d31a043fa
51d1406a099a9f41,lazy_0,three_corridor,abrupt,24,102,0,300,106,0.35333333333333333,58,0.58,0.12625,0.15625,0.15625,1,0,0,105,64,0.0001055,0.000151667,0.0,0.006882040999999999,0.014217667000000002,0.023297791,0,False,9470cc26d62f2f99,7958531922b6f2c2
c3f46b9b426c354d,random_25,three_corridor,abrupt,24,102,1701,300,115,0.38333333333333336,67,0.67,0.12625,0.07203014184397163,0.07203014184397163,1,6,6,115,67,0.000107959,0.000151416,0.000676208,0.007283080999999999,0.014384750000000002,0.024703667,0,False,2ac668602f7ac034,7958531922b6f2c2
4727984c78acea12,random_25,three_corridor,abrupt,24,102,2903,300,83,0.27666666666666667,43,0.43,0.12333333333333334,0.1702127659574468,0.1702127659574468,1,6,6,83,56,0.00010425,0.000153459,0.0006387090000000001,0.006126462,0.014438673999999993,0.023425375,0,False,484efbaa0e1c5910,7958531922b6f2c2
43720e03a6ad7ddb,random_25,three_corridor,abrupt,24,102,4307,300,88,0.29333333333333333,47,0.47,0.13375,0.10904255319148937,0.10904255319148937,1,6,5,86,58,0.00010325,0.000152375,0.000534791,0.006305339000000001,0.014381592000000002,0.023504417,0,False,0daa18b299c08616,7958531922b6f2c2
efe27a2de18e0701,top_25,three_corridor,abrupt,24,102,0,300,97,0.3233333333333333,44,0.44,0.1325,0.18439716312056736,0.18439716312056736,1,6,6,97,59,0.000104709,0.000158334,0.000649375,0.0064020859999999995,0.014126295000000004,0.023423209,0,False,faa74d05c9b791cc,7958531922b6f2c2
d3ccb734e74ad98d,repair_all,three_corridor,abrupt,24,102,0,300,102,0.34,54,0.54,0.15083333333333335,0.0,0.0,1,24,20,101,62,0.00010325,0.000149958,0.002150247,0.006750584,0.014132577999999993,0.025376125,0,False,129d693ca023e3ab,7958531922b6f2c2
ba7eb589ae5b2372,lazy_0,three_corridor,abrupt,24,103,0,300,114,0.38,44,0.44,0.16416666666666666,0.2398049645390071,0.2398049645390071,1,0,0,114,79,0.000737375,0.000156375,0.0,0.008571872000000003,0.014335917999999991,0.025760709,0,False,b2738aeab21af7b2,d222886c8be0bd92
63120a7c075edc8d,random_25,three_corridor,abrupt,24,103,1701,300,111,0.37,41,0.41,0.16125,0.1276595744680851,0.1276595744680851,1,6,6,111,77,0.000107916,0.0001505,0.000661959,0.008370251,0.014513465999999994,0.0257955,0,False,f00dcc540864f22f,d222886c8be0bd92
6acb3c24e47aff41,random_25,three_corridor,abrupt,24,103,2903,300,111,0.37,42,0.42,0.13541666666666666,0.19171099290780141,0.19171099290780141,1,6,6,110,78,0.000113792,0.0001495,0.000644999,0.008494999000000001,0.014583416000000007,0.026024125,0,False,5de62b061cb69558,d222886c8be0bd92
076beb8c7614c571,random_25,three_corridor,abrupt,24,103,4307,300,74,0.24666666666666667,26,0.26,0.13291666666666666,0.12632978723404256,0.12632978723404256,1,6,6,73,59,0.000105959,0.000149125,0.0006432499999999999,0.006498500000000003,0.014408827000000003,0.023783292,0,False,d2a918215616a607,d222886c8be0bd92
