method,map_id,workload,n_agents,n_runs,throughput_mean,throughput_std,wait_rate_mean,refresh_rate_mean,wall_time_seconds_mean,refresh_seconds_mean,budget_violation_rate,deadlock_rate,collision_count
always_refresh,two_corridor,abrupt,24,3,0.568,0.06101365967278694,0.076,1.0,0.160543625,0.11686606833333335,0.0,0.0,0
always_refresh,two_corridor,recurring,24,3,0.5946666666666667,0.07165348716023677,0.07494444444444444,1.0,0.15383593033333334,0.11308076433333332,0.0,0.0,0
always_refresh,two_corridor,static,24,3,0.584,0.039597979746446646,0.06983333333333334,1.0,0.15667675,0.11622895766666667,0.0,0.0,0
always_reuse,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.02,0.031028014333333336,0.002528222,0.0,0.0,0
always_reuse,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.02,0.03245112533333333,0.0025036109999999998,0.0,0.0,0
always_reuse,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.02,0.02753041666666667,0.0024632363333333333,0.0,0.0,0
betg_10,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.04965308333333333,0.011385708333333333,0.0,0.0,0
betg_10,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.04871094433333334,0.011687375,0.0,0.0,0
betg_10,two_corridor,static,24,3,0.3626666666666667,0.043492017147466894,0.14266666666666666,0.09333333333333334,0.048645556,0.011509193666666667,0.0,0.0,0
betg_25,two_corridor,abrupt,24,3,0.3626666666666667,0.019136933459209755,0.103,0.25333333333333335,0.06866179166666668,0.029493389666666665,0.3333333333333333,0.0,0
betg_25,two_corridor,recurring,24,3,0.38133333333333336,0.0438583578757294,0.09944444444444445,0.26,0.06780294433333334,0.029532361333333337,0.3333333333333333,0.0,0
betg_25,two_corridor,static,24,3,0.3173333333333333,0.01236482466066095,0.10777777777777776,0.20666666666666667,0.065579847,0.024261501333333334,0.0,0.0,0
drift_10,two_corridor,abrupt,24,3,0.26133333333333336,0.04945929864264374,0.15611111111111112,0.10000000000000002,0.04226134733333333,0.012290069,0.0,0.0,0
drift_10,two_corridor,recurring,24,3,0.2733333333333334,0.013597385369580746,0.14872222222222223,0.10000000000000002,0.04256763833333333,0.011952000333333332,0.0,0.0,0
drift_10,two_corridor,static,24,3,0.30666666666666664,0.05389702115042064,0.15761111111111112,0.09333333333333334,0.042108208,0.011681834666666667,0.0,0.0,0
drift_25,two_corridor,abrupt,24,3,0.4346666666666667,0.07563655788630845,0.10933333333333334,0.25333333333333335,0.06423925000000001,0.02854667966666666,0.0,0.0,0
drift_25,two_corridor,recurring,24,3,0.35600000000000004,0.03973243846867022,0.11199999999999999,0.26,0.06388812533333334,0.030181181666666668,0.0,0.0,0
drift_25,two_corridor,static,24,3,0.3866666666666667,0.039372861493955726,0.11755555555555557,0.2333333333333333,0.05935827800000001,0.026447014666666668,0.0,0.0,0
periodic_20,two_corridor,abrupt,24,3,0.336,0.021416504538945346,0.09666666666666666,0.26,0.06456333366666667,0.030150708666666665,0.0,0.0,0
periodic_20,two_corridor,recurring,24,3,0.36400000000000005,0.03973243846867022,0.09522222222222222,0.26,0.06300418033333334,0.029402751333333334,0.0,0.0,0
periodic_20,two_corridor,static,24,3,0.332,0.0097979589711327,0.0941111111111111,0.26,0.060480763666666666,0.029224943333333333,0.0,0.0,0
periodic_50,two_corridor,abrupt,24,3,0.3626666666666667,0.0349221356098901,0.14927777777777776,0.10000000000000002,0.044834861000000004,0.011233083,0.0,0.0,0
periodic_50,two_corridor,recurring,24,3,0.34400000000000003,0.0674882705858334,0.14144444444444446,0.10000000000000002,0.04487027766666666,0.011705763333333332,0.0,0.0,0
periodic_50,two_corridor,static,24,3,0.3586666666666667,0.04691363222869114,0.14066666666666666,0.10000000000000002,0.042731263666666665,0.011381763666666668,0.0,0.0,0
shortest,two_corridor,abrupt,24,3,0.24666666666666667,0.03641733408999377,0.17888888888888888,0.0,0.020657306,0.0,0.0,0.0,0
shortest,two_corridor,recurring,24,3,0.30933333333333335,0.020997354330698156,0.1751111111111111,0.0,0.020379986,0.0,0.0,0.0,0
shortest,two_corridor,static,24,3,0.19333333333333336,0.05716253629393605,0.19033333333333333,0.0,0.018777847333333333,0.0,0.0,0.0,0
