method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
context_learned_lite,17,warehouse_small_kiva,abrupt,6436,3.218,1,2,25,0,0.008779819000000001,24.099318068000002,70.65692546591163
context_memory_B25,17,warehouse_small_kiva,abrupt,6846,3.423,1,5,25,0,0.10967455599999999,26.738209037,67.74640643689781
exact_even_B25,17,warehouse_small_kiva,abrupt,7196,3.598,1,25,25,0,0.12193491299999999,27.153271103000005,68.4430437842384
context_learned_lite,17,warehouse_small_kiva,recurrent,6553,3.2765,1,2,25,0,0.135014615,77.62204314299997,160.11995549034327
context_memory_B25,17,warehouse_small_kiva,recurrent,6715,3.3575,1,5,25,0,0.160551218,75.608607037,144.29312119353563
exact_even_B25,17,warehouse_small_kiva,recurrent,7150,3.575,1,25,25,0,0.38641330200000007,78.86265611599998,150.50413903128356
context_learned_lite,17,warehouse_small_kiva,stationary,4668,2.334,1,0,25,0,0.005472314,34.10606149699999,80.45269725844264
context_memory_B25,17,warehouse_small_kiva,stationary,4832,2.416,1,3,25,0,0.070474907,37.08418385,77.11026647035033
exact_even_B25,17,warehouse_small_kiva,stationary,4631,2.3155,1,25,25,0,0.13878327399999998,33.430278261000005,75.04230876173824
context_learned_lite,18,warehouse_small_kiva,abrupt,6636,3.318,1,3,25,0,0.010104975,26.670528274000006,71.58683822117746
context_memory_B25,18,warehouse_small_kiva,abrupt,7302,3.651,1,6,25,0,0.021300621999999998,28.074706856,70.22749165724963
exact_even_B25,18,warehouse_small_kiva,abrupt,7431,3.7155,1,25,25,0,0.07460882900000002,27.968223120999987,70.23336976207793
context_learned_lite,18,warehouse_small_kiva,recurrent,5571,2.7855,1,4,25,0,0.013366048,72.74842881199999,156.5775912925601
context_memory_B25,18,warehouse_small_kiva,recurrent,6113,3.0565,1,4,25,0,0.016247302999999998,73.996472028,140.88115082960576
