method,seed,map_id,workload,num_task_finished,throughput_per_timestep,mandatory_bootstrap_calls,post_bootstrap_publication_count,publication_budget,budget_violation_count,generator_seconds,simulator_seconds,elapsed_seconds
exact_even_B25,20,warehouse_small_narrow_kiva,abrupt,3922,1.961,1,25,25,0,3.9213010210000006,9.419376831000001,21.764446925371885
bootstrap_only,20,warehouse_small_narrow_kiva,recurrent,3792,1.896,1,0,0,0,0.036548375,5.651738059000002,9.734737794846296
context_dualcap_G4S5,20,warehouse_small_narrow_kiva,recurrent,3844,1.922,1,5,5,0,0.261921527,7.171524494000002,9.74937105551362
context_memory_B25,20,warehouse_small_narrow_kiva,recurrent,3935,1.9675,1,9,25,0,0.9463817449999998,7.054136797000002,10.483386985957623
exact_even_B25,20,warehouse_small_narrow_kiva,recurrent,3953,1.9765,1,25,25,0,3.6591691869999994,7.750983629999996,14.286502983421087
bootstrap_only,20,warehouse_small_narrow_kiva,stationary,3893,1.9465,1,0,0,0,0.141189761,5.463449364,7.349631443619728
context_dualcap_G4S5,20,warehouse_small_narrow_kiva,stationary,3704,1.852,1,5,5,0,0.035514215999999994,5.918380831000002,8.062177166342735
context_memory_B25,20,warehouse_small_narrow_kiva,stationary,3847,1.9235,1,10,25,0,0.797903931,5.866775801000002,9.80677953734994
exact_even_B25,20,warehouse_small_narrow_kiva,stationary,3858,1.929,1,25,25,0,2.3819960149999995,6.699613847,11.651302944868803
bootstrap_only,21,warehouse_small_narrow_kiva,abrupt,3636,1.818,1,0,0,0,0.061279806,5.919778416,7.913722902536392
context_dualcap_G4S5,21,warehouse_small_narrow_kiva,abrupt,3876,1.938,1,5,5,0,0.222543214,6.068578232999999,8.456014566123486
context_memory_B25,21,warehouse_small_narrow_kiva,abrupt,3900,1.95,1,8,25,0,1.657551675,11.396072163999998,16.031091444194317
exact_even_B25,21,warehouse_small_narrow_kiva,abrupt,3857,1.9285,1,25,25,0,6.486716291,8.405248991999999,21.571053102612495
bootstrap_only,21,warehouse_small_narrow_kiva,recurrent,3718,1.859,1,0,0,0,0.011865676,6.776060444000003,8.661304220557213
context_dualcap_G4S5,21,warehouse_small_narrow_kiva,recurrent,3846,1.923,1,5,5,0,0.18643756399999997,10.307977018000004,15.587484262883663
context_memory_B25,21,warehouse_small_narrow_kiva,recurrent,3822,1.911,1,8,25,0,2.388518609,8.312093895000002,13.236633401364088
exact_even_B25,21,warehouse_small_narrow_kiva,recurrent,3862,1.931,1,25,25,0,7.088998722999999,7.783477707,17.989160381257534
bootstrap_only,21,warehouse_small_narrow_kiva,stationary,3944,1.972,1,0,0,0,0.002104241,11.652361173,14.459180045872927
context_dualcap_G4S5,21,warehouse_small_narrow_kiva,stationary,3751,1.8755,1,5,5,0,0.09222243499999999,8.429155389000003,11.010868214070797
context_memory_B25,21,warehouse_small_narrow_kiva,stationary,3809,1.9045,1,7,25,0,1.7805152240000002,6.447135675999999,10.970200721174479
exact_even_B25,21,warehouse_small_narrow_kiva,stationary,3921,1.9605,1,25,25,0,4.505453650999999,7.480486725999997,16.091882288455963
bootstrap_only,22,warehouse_small_narrow_kiva,abrupt,3596,1.798,1,0,0,0,0.007804501,6.052053817,7.787675824016333
context_dualcap_G4S5,22,warehouse_small_narrow_kiva,abrupt,3595,1.7975,1,5,5,0,0.071152694,5.811547348,7.951196391135454
context_memory_B25,22,warehouse_small_narrow_kiva,abrupt,3750,1.875,1,8,25,0,0.08898215999999999,5.364957580999999,9.688257072120905
exact_even_B25,22,warehouse_small_narrow_kiva,abrupt,3908,1.954,1,25,25,0,0.4957478229999999,5.574399543999998,8.406716596335173
bootstrap_only,22,warehouse_small_narrow_kiva,recurrent,3847,1.9235,1,0,0,0,0.697022355,5.545950500000001,7.99562431126833
